Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Candace Kane's Candy Factory,DS,2008.0,Action,Destineer,40.0,0.0,0.0,0.0,40.0
The Munchables,Wii,2009.0,Action,Namco Bandai Games,170.0,0.0,0.0,10.0,180.0
Otome wa Oanesama Boku ni Koi Shiteru Portable,PSP,2010.0,Adventure,Alchemist,0.0,0.0,20.0,0.0,20.0
Deal or No Deal: Special Edition,DS,2010.0,Misc,Zoo Games,40.0,0.0,0.0,0.0,40.0
Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010.0,Platform,D3Publisher,120.0,90.0,0.0,40.0,250.0
Power Pro Kun Pocket 8,DS,2005.0,Sports,Konami Digital Entertainment,0.0,0.0,140.0,0.0,140.0
JASF: Jane's Advanced Strike Fighters,PC,2011.0,Simulation,Deep Silver,20.0,10.0,0.0,0.0,30.0
Samurai Warriors: State of War,PSP,2005.0,Action,Tecmo Koei,70.0,0.0,110.0,10.0,190.0
Imabikisou,PS3,2007.0,Adventure,Sega,0.0,0.0,40.0,0.0,40.0
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,2011.0,Action,THQ,40.0,30.0,0.0,10.0,80.0
Ford Racing,PS,2001.0,Racing,Empire Interactive,480.0,330.0,0.0,60.0,870.0
Harvest Moon: More Friends of Mineral Town,GBA,2003.0,Simulation,Ubisoft,140.0,50.0,0.0,0.0,190.0
Mount & Blade,PC,2008.0,Role-Playing,Paradox Interactive,0.0,20.0,0.0,0.0,20.0
The Professor's Brain Trainer: Logic,DS,2005.0,Puzzle,505 Games,20.0,0.0,0.0,0.0,20.0
Zoids Dash,DS,2006.0,Role-Playing,Tomy Corporation,0.0,0.0,20.0,0.0,20.0
Mini Ninjas,PS3,2009.0,Action,Eidos Interactive,140.0,160.0,0.0,60.0,360.0
Rise of Nations,PC,2003.0,Strategy,Microsoft Game Studios,10.0,20.0,0.0,10.0,40.0
Hajime no Ippo: The Fighting! (2014),PS3,2014.0,Sports,Namco Bandai Games,0.0,0.0,30.0,0.0,30.0
Grand Kingdom,PS4,2015.0,Role-Playing,Nippon Ichi Software,20.0,0.0,30.0,0.0,50.0
Tropico Reloaded,PC,2009.0,Strategy,Kalypso Media,0.0,20.0,0.0,0.0,20.0
